Gene	Log2 Fold Change	p-value
atp2b3b	1.6133142876099529	8.877559450121492e-25
agxtb	1.6509301080532377	1.0745626387663327e-24
rtn4b	0.8428850196153082	1.0863506302712145e-24
smim24	1.3131645393203943	1.090686194619671e-24
ENSDARG00000117720	2.0402786790590293	1.2492848743464136e-24
dusp27	1.0459180091459213	1.3028338167578418e-24
syt5a	2.0835522619586997	1.3256618022843454e-24
si:dkey-51d8.3	-2.9505026051377494	1.3983342130290781e-24
ENSDARG00000100811	-3.6355871508257884	1.458753142436527e-24
gda	1.6664906590940585	1.6037956108821714e-24
pnp4b	1.6574289211657753	1.716798488823975e-24
tmub2	2.3059592731003375	1.742401272145854e-24
si:busm1-57f23.1	1.7319216220647704	1.7452320662443743e-24
LOC100005108	1.5487915501738367	1.8909820829664554e-24
ddx21	0.7149300003531341	2.0838779289519157e-24
si:dkey-238c7.12	1.8552132761903064	2.208864382812713e-24
reep2	2.112799415657712	2.696607250646532e-24
cyp1a	1.3450680274172901	2.7024884183518937e-24
gngt2b	1.6797886507003355	2.720457919102118e-24
map7b	1.6866518717230494	2.751132674580046e-24
zp3c	-inf	2.785050408239088e-24
ENSDARG00000092510	1.457775870175399	2.8639459110275833e-24
ENSDARG00000097347	1.2528558323700432	2.873820993084896e-24
prf1.7	-4.384863874106364	2.996099385954093e-24
pld2	1.7443312333345127	4.0789478467273185e-24
cbln1	2.1419757039396723	4.096768425072506e-24
si:ch211-77g15.32	2.161786681793581	4.250315404823722e-24
arrdc3b	1.9437842878795368	4.511016322734915e-24
gnb5b	1.083819615708276	4.575015833300373e-24
LOC108183423	1.2494942375296518	4.680777472986863e-24
phyh	1.9947702601125286	4.7252657272396575e-24
ENSDARG00000111386	-1.4849896241615457	5.224126367564632e-24
rnf128a	1.4428826358816622	5.251031085953418e-24
fkbp5	1.7581344897547369	5.352061547701622e-24
dusp14	1.628878935380457	5.443871715403584e-24
U5	-1.8648028179430642	5.5018668052778086e-24
itsn2a	1.7583241325885803	6.697564226847275e-24
tdo2b	1.705073536023396	6.840514234272138e-24
sult1st3	1.6225091823026212	7.323646145986282e-24
LOC108179272	2.3299118987123486	7.527878747823451e-24
her11	-2.199669308158934	8.60045423746988e-24
gabrb3	1.5648227826094243	8.878903520337412e-24
pvalb6	1.3682690350586009	9.399288792190305e-24
gadd45ba	1.4997882899786241	9.761211038877164e-24
socs1a	2.0172532136576633	9.89868658549826e-24
si:ch211-237l4.6	1.585468146497383	1.0365373326183057e-23
slc25a42	2.0901747987908657	1.0662503709369804e-23
rai1	1.8352582726373825	1.1238990563845014e-23
cyp3c1	1.8539134568854423	1.2368185239226597e-23
pnp5a	1.8117395316419616	1.2403586656393679e-23
egr4	1.74451567285063	1.332935633701947e-23
apoda.2	1.8473164712232193	1.4049995329585818e-23
zmp:0000000991	2.1680802084707262	1.4640972224748718e-23
opn1sw1	1.7240668007380313	1.588338830970323e-23
sparta	2.043405660689116	1.6192935330938733e-23
ctps1b	1.241226867766047	1.7532310442961814e-23
